grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 2 0 [64, 66, 108, 10] ; 338887280 ; 0.9777777791023254 ; 1.0 ; 22638290 ;  2 _ 266
3 2 0 [64, 66, 110, 10] ; 246808767 ; 0.9777777791023254 ; 1.0 ; 25591385 ;  2 _ 268
3 2 0 [64, 66, 112, 10] ; 318002403 ; 0.9777777791023254 ; 1.0 ; 26737093 ;  2 _ 270
3 2 0 [64, 66, 114, 10] ; 453636490 ; 0.9814814925193787 ; 1.0 ; 26629833 ;  2 _ 271
3 2 0 [64, 66, 116, 10] ; 364556932 ; 0.9777777791023254 ; 1.0 ; 27173245 ;  2 _ 273
3 2 0 [64, 66, 118, 10] ; 372394266 ; 0.970370352268219 ; 1.0 ; 22837701 ;  2 _ 275
3 2 0 [64, 66, 120, 10] ; 334826843 ; 0.9814814925193787 ; 1.0 ; 26874305 ;  2 _ 277
3 2 0 [64, 66, 122, 10] ; 340098588 ; 0.9814814925193787 ; 1.0 ; 28450052 ;  2 _ 278
3 2 0 [64, 66, 124, 10] ; 372008897 ; 0.9777777791023254 ; 1.0 ; 28309327 ;  2 _ 280
3 2 0 [64, 66, 126, 10] ; 352811084 ; 0.9740740656852722 ; 1.0 ; 25432778 ;  2 _ 282
3 2 0 [64, 66, 128, 10] ; 403636622 ; 0.9814814925193787 ; 1.0 ; 29713763 ;  2 _ 283
3 2 0 [64, 68, 64, 10] ; 295477625 ; 0.9814814925193787 ; 1.0 ; 20003477 ;  2 _ 229
3 2 0 [64, 68, 66, 10] ; 251236190 ; 0.9777777791023254 ; 1.0 ; 22277616 ;  2 _ 231
3 2 0 [64, 68, 68, 10] ; 306027161 ; 0.9777777791023254 ; 1.0 ; 23540696 ;  2 _ 233
3 2 0 [64, 68, 70, 10] ; 253028398 ; 0.9814814925193787 ; 1.0 ; 23856417 ;  2 _ 235
3 2 0 [64, 68, 72, 10] ; 284376637 ; 0.9814814925193787 ; 1.0 ; 22307783 ;  2 _ 237
3 2 0 [64, 68, 74, 10] ; 319294382 ; 0.9740740656852722 ; 1.0 ; 20233071 ;  2 _ 239
3 2 0 [64, 68, 76, 10] ; 292058037 ; 0.9777777791023254 ; 1.0 ; 19148055 ;  2 _ 241
3 2 0 [64, 68, 78, 10] ; 279942388 ; 0.9814814925193787 ; 1.0 ; 21246070 ;  2 _ 243
3 2 0 [64, 68, 80, 10] ; 273258538 ; 0.9740740656852722 ; 1.0 ; 23578641 ;  2 _ 244
3 2 0 [64, 68, 82, 10] ; 256826970 ; 0.9851852059364319 ; 1.0 ; 23803816 ;  2 _ 246
3 2 0 [64, 68, 84, 10] ; 261693985 ; 0.9740740656852722 ; 1.0 ; 18576165 ;  2 _ 248
3 2 0 [64, 68, 86, 10] ; 289880350 ; 0.9666666388511658 ; 1.0 ; 23537650 ;  2 _ 250
3 2 0 [64, 68, 88, 10] ; 282997048 ; 0.9777777791023254 ; 1.0 ; 25261893 ;  2 _ 252
3 2 0 [64, 68, 90, 10] ; 388156367 ; 0.9777777791023254 ; 1.0 ; 23327008 ;  2 _ 254
3 3 0 [64, 48, 10] ; 65191010 ; 0.9592592716217041 ; 1.0 ; 14970736 ;  2 _ 151
3 3 0 [64, 50, 10] ; 61238602 ; 0.9666666388511658 ; 1.0 ; 15851367 ;  2 _ 154
3 3 0 [64, 52, 10] ; 62347244 ; 0.9555555582046509 ; 1.0 ; 16866436 ;  2 _ 158
3 3 0 [64, 54, 10] ; 63348230 ; 0.9666666388511658 ; 1.0 ; 12427283 ;  2 _ 161
3 3 0 [64, 56, 10] ; 57081130 ; 0.9666666388511658 ; 1.0 ; 14419972 ;  2 _ 164
3 3 0 [64, 58, 10] ; 74296210 ; 0.970370352268219 ; 1.0 ; 13934882 ;  2 _ 168
