grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
5 3 0 [4, 9, 3] ; 2382036 ; 0.95652174949646 ; 1.0 ; 69574 ;  2 _ 22
5 3 0 [4, 4, 4, 3] ; 6323410 ; 0.95652174949646 ; 1.0 ; 129627 ;  2 _ 18
5 3 0 [4, 4, 6, 3] ; 5766011 ; 0.95652174949646 ; 1.0 ; 131397 ;  2 _ 21
5 3 0 [4, 4, 8, 3] ; 5191971 ; 0.95652174949646 ; 1.0 ; 233644 ;  2 _ 24
5 3 0 [4, 6, 4, 3] ; 6044485 ; 0.95652174949646 ; 1.0 ; 98991 ;  2 _ 21
5 3 0 [4, 6, 6, 3] ; 10956371 ; 0.95652174949646 ; 1.0 ; 153598 ;  2 _ 25
5 3 0 [4, 6, 8, 3] ; 4598148 ; 0.95652174949646 ; 1.0 ; 237322 ;  3 _ 23
5 3 0 [4, 8, 4, 3] ; 8757568 ; 0.95652174949646 ; 1.0 ; 64791 ;  2 _ 24
5 3 0 [4, 8, 6, 3] ; 4234644 ; 0.95652174949646 ; 1.0 ; 42289 ;  2 _ 28
5 3 0 [4, 8, 8, 3] ; 6349798 ; 1.0 ; 1.0 ; 168321 ;  2 _ 31
5 3 0 [4, 10, 4, 3] ; 5685069 ; 0.95652174949646 ; 1.0 ; 130067 ;  2 _ 27
5 3 0 [4, 10, 6, 3] ; 6968957 ; 1.0 ; 1.0 ; 166305 ;  2 _ 31
5 3 0 [4, 10, 8, 3] ; 4858857 ; 0.95652174949646 ; 1.0 ; 172695 ;  2 _ 34
5 3 0 [4, 12, 4, 3] ; 4457691 ; 0.95652174949646 ; 1.0 ; 76889 ;  2 _ 29
5 3 0 [4, 12, 6, 3] ; 5063189 ; 0.95652174949646 ; 1.0 ; 195644 ;  2 _ 33
5 3 0 [4, 12, 8, 3] ; 6631939 ; 1.0 ; 1.0 ; 269678 ;  2 _ 37
5 4 0 [4, 3, 3] ; 2372175 ; 1.0 ; 1.0 ; 56565 ;  2 _ 13
5 4 0 [4, 5, 3] ; 2557326 ; 1.0 ; 1.0 ; 93662 ;  2 _ 17
5 4 0 [4, 7, 3] ; 3000632 ; 1.0 ; 1.0 ; 168037 ;  2 _ 21
5 4 0 [4, 9, 3] ; 3215452 ; 0.95652174949646 ; 1.0 ; 137781 ;  2 _ 24
5 4 0 [4, 4, 4, 3] ; 9822259 ; 1.0 ; 1.0 ; 56812 ;  2 _ 20
5 4 0 [4, 4, 6, 3] ; 8567349 ; 0.8695651888847351 ; 1.0 ; 111481 ;  2 _ 23
5 4 0 [4, 4, 8, 3] ; 7054857 ; 0.95652174949646 ; 1.0 ; 100688 ;  2 _ 26
5 4 0 [4, 6, 4, 3] ; 8034196 ; 0.95652174949646 ; 1.0 ; 104001 ;  2 _ 23
5 4 0 [4, 6, 6, 3] ; 17898139 ; 0.95652174949646 ; 1.0 ; 61607 ;  2 _ 27
5 4 0 [4, 6, 8, 3] ; 8156386 ; 0.95652174949646 ; 1.0 ; 244852 ;  2 _ 30
5 4 0 [4, 8, 4, 3] ; 5446779 ; 1.0 ; 1.0 ; 137297 ;  2 _ 26
5 4 0 [4, 8, 6, 3] ; 7347639 ; 0.8260869383811951 ; 1.0 ; 135654 ;  2 _ 30
5 4 0 [4, 8, 8, 3] ; 6164494 ; 0.9130434989929199 ; 1.0 ; 166783 ;  2 _ 34
5 4 0 [4, 10, 4, 3] ; 7545146 ; 0.9130434989929199 ; 1.0 ; 219896 ;  2 _ 29
5 4 0 [4, 10, 6, 3] ; 5453265 ; 0.9130434989929199 ; 1.0 ; 167653 ;  2 _ 33
5 4 0 [4, 10, 8, 3] ; 5415367 ; 0.8695651888847351 ; 1.0 ; 210632 ;  2 _ 37
5 4 0 [4, 12, 4, 3] ; 6123145 ; 0.95652174949646 ; 1.0 ; 121368 ;  2 _ 32
5 4 0 [4, 12, 6, 3] ; 10239927 ; 0.9130434989929199 ; 1.0 ; 190607 ;  2 _ 36
5 4 0 [4, 12, 8, 3] ; 11355883 ; 1.0 ; 1.0 ; 256294 ;  2 _ 40
5 5 0 [4, 3, 3] ; 2683634 ; 1.0 ; 1.0 ; 72404 ;  2 _ 14
5 5 0 [4, 5, 3] ; 4148462 ; 1.0 ; 1.0 ; 56645 ;  2 _ 19
5 5 0 [4, 7, 3] ; 3359461 ; 1.0 ; 1.0 ; 80895 ;  2 _ 22
5 5 0 [4, 9, 3] ; 3417670 ; 1.0 ; 1.0 ; 95046 ;  2 _ 26
5 5 0 [4, 4, 4, 3] ; 4757129 ; 0.9130434989929199 ; 1.0 ; 317243 ;  2 _ 21
5 5 0 [4, 4, 6, 3] ; 6469254 ; 0.8260869383811951 ; 1.0 ; 80267 ;  2 _ 25
5 5 0 [4, 4, 8, 3] ; 6547966 ; 0.8260869383811951 ; 1.0 ; 79087 ;  2 _ 28
5 5 0 [4, 6, 4, 3] ; 6025858 ; 0.6521739363670349 ; 1.0 ; 158473 ;  2 _ 25
5 5 0 [4, 6, 6, 3] ; 4841592 ; 0.9130434989929199 ; 1.0 ; 77055 ;  2 _ 29
5 5 0 [4, 6, 8, 3] ; 6074279 ; 0.8260869383811951 ; 1.0 ; 124058 ;  2 _ 32
5 5 0 [4, 8, 4, 3] ; 7431064 ; 0.782608687877655 ; 1.0 ; 178291 ;  2 _ 28
5 5 0 [4, 8, 6, 3] ; 10282373 ; 0.9130434989929199 ; 1.0 ; 86771 ;  2 _ 32
5 5 0 [4, 8, 8, 3] ; 5849232 ; 1.0 ; 1.0 ; 60620 ;  2 _ 36
5 5 0 [4, 10, 4, 3] ; 10969461 ; 0.95652174949646 ; 1.0 ; 89079 ;  2 _ 31
5 5 0 [4, 10, 6, 3] ; 5559438 ; 1.0 ; 1.0 ; 183980 ;  2 _ 36
5 5 0 [4, 10, 8, 3] ; 6677180 ; 0.9130434989929199 ; 1.0 ; 196116 ;  2 _ 40
5 5 0 [4, 12, 4, 3] ; 5182079 ; 0.8695651888847351 ; 1.0 ; 148789 ;  2 _ 34
5 5 0 [4, 12, 6, 3] ; 11054660 ; 1.0 ; 1.0 ; 115919 ;  2 _ 39
5 5 0 [4, 12, 8, 3] ; 9338080 ; 0.9130434989929199 ; 1.0 ; 365997 ;  2 _ 43
9 2 0 [4, 3, 3] ; 2878645 ; 0.9130434989929199 ; 1.0 ; 111686 ;  2 _ 12
9 2 0 [4, 5, 3] ; 2747598 ; 0.95652174949646 ; 1.0 ; 115335 ;  2 _ 16
9 2 0 [4, 7, 3] ; 3036335 ; 0.8695651888847351 ; 1.0 ; 57981 ;  2 _ 20
9 2 0 [4, 9, 3] ; 2979375 ; 0.9130434989929199 ; 1.0 ; 87625 ;  2 _ 23
9 2 0 [4, 4, 4, 3] ; 3594869 ; 0.8695651888847351 ; 1.0 ; 112603 ;  2 _ 19
9 2 0 [4, 4, 6, 3] ; 6134610 ; 1.0 ; 1.0 ; 146904 ;  2 _ 22
9 2 0 [4, 4, 8, 3] ; 10045303 ; 0.8695651888847351 ; 1.0 ; 93336 ;  2 _ 24
9 2 0 [4, 6, 4, 3] ; 4993865 ; 0.95652174949646 ; 1.0 ; 145496 ;  2 _ 22
9 2 0 [4, 6, 6, 3] ; 4293813 ; 0.8260869383811951 ; 1.0 ; 82132 ;  2 _ 25
9 2 0 [4, 6, 8, 3] ; 3697907 ; 1.0 ; 1.0 ; 272923 ;  2 _ 28
9 2 0 [4, 8, 4, 3] ; 4160476 ; 0.8695651888847351 ; 1.0 ; 90714 ;  2 _ 25
9 2 0 [4, 8, 6, 3] ; 5597214 ; 0.95652174949646 ; 1.0 ; 141073 ;  2 _ 29
9 2 0 [4, 8, 8, 3] ; 4603937 ; 1.0 ; 1.0 ; 116394 ;  2 _ 32
9 2 0 [4, 10, 4, 3] ; 4666523 ; 0.95652174949646 ; 1.0 ; 41638 ;  2 _ 28
9 2 0 [4, 10, 6, 3] ; 3763850 ; 0.9130434989929199 ; 1.0 ; 73321 ;  2 _ 32
9 2 0 [4, 10, 8, 3] ; 3437526 ; 0.9130434989929199 ; 1.0 ; 121520 ;  2 _ 35
9 2 0 [4, 12, 4, 3] ; 5213775 ; 0.95652174949646 ; 1.0 ; 113455 ;  2 _ 30
9 2 0 [4, 12, 6, 3] ; 3847605 ; 1.0 ; 1.0 ; 158441 ;  2 _ 34
9 2 0 [4, 12, 8, 3] ; 5958249 ; 0.9130434989929199 ; 1.0 ; 232356 ;  2 _ 38
9 3 0 [4, 3, 3] ; 3127149 ; 0.95652174949646 ; 1.0 ; 207239 ;  2 _ 13
9 3 0 [4, 5, 3] ; 4082210 ; 0.95652174949646 ; 1.0 ; 144209 ;  2 _ 18
9 3 0 [4, 7, 3] ; 3251303 ; 0.9130434989929199 ; 1.0 ; 135010 ;  2 _ 21
9 3 0 [4, 9, 3] ; 3657954 ; 0.9130434989929199 ; 1.0 ; 101427 ;  2 _ 25
9 3 0 [4, 4, 4, 3] ; 3857858 ; 0.8695651888847351 ; 1.0 ; 247825 ;  2 _ 20
9 3 0 [4, 4, 6, 3] ; 4995695 ; 0.8260869383811951 ; 1.0 ; 74127 ;  2 _ 23
9 3 0 [4, 4, 8, 3] ; 9634172 ; 0.95652174949646 ; 1.0 ; 64688 ;  2 _ 26
9 3 0 [4, 6, 4, 3] ; 7008516 ; 0.8695651888847351 ; 1.0 ; 50715 ;  2 _ 24
9 3 0 [4, 6, 6, 3] ; 4241872 ; 0.9130434989929199 ; 1.0 ; 92706 ;  2 _ 27
9 3 0 [4, 6, 8, 3] ; 4183780 ; 0.8260869383811951 ; 1.0 ; 280580 ;  2 _ 31
9 3 0 [4, 8, 4, 3] ; 4853851 ; 0.8260869383811951 ; 1.0 ; 90139 ;  2 _ 27
9 3 0 [4, 8, 6, 3] ; 5207681 ; 0.95652174949646 ; 1.0 ; 177691 ;  2 _ 31
9 3 0 [4, 8, 8, 3] ; 9622265 ; 0.95652174949646 ; 1.0 ; 128733 ;  2 _ 35
9 3 0 [4, 10, 4, 3] ; 3684713 ; 1.0 ; 1.0 ; 88100 ;  2 _ 30
9 3 0 [4, 10, 6, 3] ; 3765570 ; 0.95652174949646 ; 1.0 ; 165356 ;  2 _ 34
9 3 0 [4, 10, 8, 3] ; 8557831 ; 1.0 ; 1.0 ; 247252 ;  2 _ 38
9 3 0 [4, 12, 4, 3] ; 8612840 ; 0.8695651888847351 ; 1.0 ; 101909 ;  2 _ 33
9 3 0 [4, 12, 6, 3] ; 5166075 ; 1.0 ; 1.0 ; 89976 ;  2 _ 37
9 3 0 [4, 12, 8, 3] ; 5897957 ; 0.9130434989929199 ; 1.0 ; 201065 ;  2 _ 41
9 4 0 [4, 3, 3] ; 7266023 ; 0.9130434989929199 ; 1.0 ; 222561 ;  2 _ 14
9 4 0 [4, 5, 3] ; 5438234 ; 1.0 ; 1.0 ; 134231 ;  2 _ 19
9 4 0 [4, 7, 3] ; 3562736 ; 0.9130434989929199 ; 1.0 ; 93906 ;  2 _ 23
9 4 0 [4, 9, 3] ; 4148521 ; 0.95652174949646 ; 1.0 ; 155038 ;  2 _ 26
9 4 0 [4, 4, 4, 3] ; 7722757 ; 0.95652174949646 ; 1.0 ; 102894 ;  2 _ 22
9 4 0 [4, 4, 6, 3] ; 6241064 ; 0.95652174949646 ; 1.0 ; 150532 ;  2 _ 25
9 4 0 [4, 4, 8, 3] ; 7277899 ; 1.0 ; 1.0 ; 207862 ;  2 _ 28
9 4 0 [4, 6, 4, 3] ; 8762772 ; 0.95652174949646 ; 1.0 ; 339474 ;  2 _ 26
9 4 0 [4, 6, 6, 3] ; 15069638 ; 0.95652174949646 ; 1.0 ; 268371 ;  2 _ 29
9 4 0 [4, 6, 8, 3] ; 5202631 ; 0.95652174949646 ; 1.0 ; 194418 ;  2 _ 33
9 4 0 [4, 8, 4, 3] ; 5874409 ; 0.8260869383811951 ; 1.0 ; 166455 ;  2 _ 29
9 4 0 [4, 8, 6, 3] ; 6673153 ; 1.0 ; 1.0 ; 216616 ;  2 _ 33
9 4 0 [4, 8, 8, 3] ; 6749863 ; 0.8260869383811951 ; 1.0 ; 62669 ;  2 _ 37
9 4 0 [4, 10, 4, 3] ; 6207783 ; 0.95652174949646 ; 1.0 ; 101627 ;  2 _ 32
9 4 0 [4, 10, 6, 3] ; 4780228 ; 0.95652174949646 ; 1.0 ; 95462 ;  2 _ 37
9 4 0 [4, 10, 8, 3] ; 4882207 ; 0.8260869383811951 ; 1.0 ; 114209 ;  2 _ 41
9 4 0 [4, 12, 4, 3] ; 6241481 ; 0.9130434989929199 ; 1.0 ; 186853 ;  2 _ 35
9 4 0 [4, 12, 6, 3] ; 11291677 ; 1.0 ; 1.0 ; 106935 ;  2 _ 40
9 4 0 [4, 12, 8, 3] ; 5133387 ; 0.9130434989929199 ; 1.0 ; 203267 ;  2 _ 44
9 5 0 [4, 3, 3] ; 4100419 ; 0.8260869383811951 ; 1.0 ; 150604 ;  2 _ 15
9 5 0 [4, 5, 3] ; 4840494 ; 0.95652174949646 ; 1.0 ; 152489 ;  2 _ 20
9 5 0 [4, 7, 3] ; 4348926 ; 0.8260869383811951 ; 1.0 ; 130870 ;  2 _ 24
9 5 0 [4, 9, 3] ; 4510343 ; 1.0 ; 1.0 ; 45242 ;  2 _ 28
