grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 2 0 [30, 38, 38, 2] ; 40677706 ; 0.9883720874786377 ; 0.9418604651162791 ; 8136220 ;  2   124
3 2 0 [30, 38, 40, 2] ; 50449186 ; 0.9883720874786377 ; 0.9534883720930233 ; 5489316 ;  2   126
3 2 0 [30, 38, 42, 2] ; 50589115 ; 0.9767441749572754 ; 0.9651162790697675 ; 10724157 ;  5   83
3 2 0 [30, 38, 44, 2] ; 40491523 ; 0.9883720874786377 ; 0.9418604651162791 ; 7100534 ;  2   129
3 2 0 [30, 38, 46, 2] ; 23878012 ; 0.9883720874786377 ; 0.9651162790697675 ; 11301262 ;  6   78
3 2 0 [30, 38, 48, 2] ; 29228679 ; 0.9767441749572754 ; 0.9651162790697675 ; 15909138 ;  3   110
3 2 0 [30, 38, 50, 2] ; 62390326 ; 0.9651162624359131 ; 0.9418604651162791 ; 10614819 ;  4   97
3 2 0 [30, 38, 52, 2] ; 37691157 ; 0.9767441749572754 ; 0.9418604651162791 ; 5551912 ;  2   137
3 2 0 [30, 38, 54, 2] ; 61206644 ; 1.0 ; 0.9534883720930233 ; 7262783 ;  2   139
3 2 0 [30, 38, 56, 2] ; 44982274 ; 0.9883720874786377 ; 0.9534883720930233 ; 9952492 ;  2   140
3 2 0 [30, 38, 58, 2] ; 73261940 ; 0.9883720874786377 ; 0.9534883720930233 ; 12566440 ;  5   92
3 2 0 [30, 38, 60, 2] ; 46061205 ; 0.9767441749572754 ; 0.9418604651162791 ; 8491174 ;  2   144
3 3 0 [30, 22, 2] ; 9421217 ; 1.0 ; 0.9534883720930233 ; 1321822 ;  3   56
3 3 0 [30, 24, 2] ; 12309340 ; 1.0 ; 0.9534883720930233 ; 649454 ;  2   71
3 3 0 [30, 26, 2] ; 9181742 ; 1.0 ; 0.9418604651162791 ; 6523495 ;  8   39
3 3 0 [30, 28, 2] ; 9374363 ; 0.9883720874786377 ; 0.9418604651162791 ; 7497219 ;  3   64
3 3 0 [30, 30, 2] ; 12927138 ; 1.0 ; 0.9418604651162791 ; 9828049 ;  6   48
3 3 0 [30, 32, 2] ; 11225721 ; 1.0 ; 0.9418604651162791 ; 803987 ;  2   83
3 3 0 [30, 34, 2] ; 12900711 ; 0.9883720874786377 ; 0.9418604651162791 ; 5100073 ;  4   62
3 3 0 [30, 36, 2] ; 14646712 ; 1.0 ; 0.9418604651162791 ; 8334002 ;  2   88
3 3 0 [30, 38, 2] ; 12624183 ; 1.0 ; 0.9418604651162791 ; 8584788 ;  2   91
3 3 0 [30, 40, 2] ; 13019958 ; 1.0 ; 0.9534883720930233 ; 7063110 ;  2   93
3 3 0 [30, 42, 2] ; 13535573 ; 1.0 ; 0.9534883720930233 ; 9954202 ;  4   69
3 3 0 [30, 44, 2] ; 15527794 ; 0.9883720874786377 ; 0.9534883720930233 ; 8366302 ;  10   46
3 3 0 [30, 46, 2] ; 14456762 ; 1.0 ; 0.9418604651162791 ; 6442136 ;  2   101
3 3 0 [30, 48, 2] ; 13276222 ; 1.0 ; 0.9534883720930233 ; 6972652 ;  7   57
3 3 0 [30, 50, 2] ; 13615240 ; 1.0 ; 0.9418604651162791 ; 13037657 ;  10   49
3 3 0 [30, 52, 2] ; 15782575 ; 1.0 ; 0.9418604651162791 ; 5494121 ;  6   64
3 3 0 [30, 54, 2] ; 16392763 ; 0.9883720874786377 ; 0.9418604651162791 ; 8765539 ;  2   110
